Rk,Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages,Notes
105,Eberechi Eze,eng ENG,AM,Crystal Palace,26,"£ 100,000 (€ 116,715, $127,323)","£ 5,200,000 (€ 6,069,193, $6,620,773)",
106,Edson Álvarez,mx MEX,DM,West Ham,26,"£ 100,000 (€ 116,715, $127,323)","£ 5,200,000 (€ 6,069,193, $6,620,773)",
107,Andrew Robertson,sct SCO,LB,Liverpool,30,"£ 100,000 (€ 116,715, $127,323)","£ 5,200,000 (€ 6,069,193, $6,620,773)",
108,Diego Carlos,br BRA,CB,Aston Villa,31,"£ 100,000 (€ 116,715, $127,323)","£ 5,200,000 (€ 6,069,193, $6,620,773)",
109,Pau Torres,es ESP,CB,Aston Villa,27,"£ 100,000 (€ 116,715, $127,323)","£ 5,200,000 (€ 6,069,193, $6,620,773)",Unverified estimation
110,Tyrone Mings,eng ENG,CB,Aston Villa,31,"£ 100,000 (€ 116,715, $127,323)","£ 5,200,000 (€ 6,069,193, $6,620,773)",Unverified estimation
111,Matt Targett,eng ENG,LB,Newcastle Utd,28,"£ 100,000 (€ 116,715, $127,323)","£ 5,200,000 (€ 6,069,193, $6,620,773)",
112,Ederson,br BRA,GK,Manchester City,30,"£ 100,000 (€ 116,715, $127,323)","£ 5,200,000 (€ 6,069,193, $6,620,773)",
113,Carney Chukwuemeka,eng ENG,CM,Chelsea,20,"£ 100,000 (€ 116,715, $127,323)","£ 5,200,000 (€ 6,069,193, $6,620,773)",
114,Levi Colwill,eng ENG,CB,Chelsea,21,"£ 100,000 (€ 116,715, $127,323)","£ 5,200,000 (€ 6,069,193, $6,620,773)",
115,Marc Guiu,,CF,Chelsea,18,"£ 100,000 (€ 116,715, $127,323)","£ 5,200,000 (€ 6,069,193, $6,620,773)",
116,Mykhailo Mudryk,ua UKR,LW,Chelsea,23,"£ 100,000 (€ 116,715, $127,323)","£ 5,200,000 (€ 6,069,193, $6,620,773)",
117,Dominic Calvert-Lewin,eng ENG,CF,Everton,27,"£ 100,000 (€ 116,715, $127,323)","£ 5,200,000 (€ 6,069,193, $6,620,773)",
118,James Tarkowski,eng ENG,CB,Everton,31,"£ 100,000 (€ 116,715, $127,323)","£ 5,200,000 (€ 6,069,193, $6,620,773)",
119,Raúl Jiménez,mx MEX,CF,Fulham,33,"£ 100,000 (€ 116,715, $127,323)","£ 5,200,000 (€ 6,069,193, $6,620,773)",Unverified estimation
120,Emerson Palmieri,it ITA,LB,West Ham,29,"£ 95,000 (€ 110,879, $120,956)","£ 4,940,000 (€ 5,765,733, $6,289,734)",
Rk,Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages,Notes
121,Jurriën Timber,nl NED,CB,Arsenal,23,"£ 90,000 (€ 105,044, $114,590)","£ 4,680,000 (€ 5,462,274, $5,958,695)",
122,Leandro Trossard,be BEL,LW,Arsenal,29,"£ 90,000 (€ 105,044, $114,590)","£ 4,680,000 (€ 5,462,274, $5,958,695)",
