Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,PSH,PSD,PSA,WHH,WHD,WHA,PSCH,PSCD,PSCA
E0,18/09/2023,Nott'm Forest,Burnley,1,1,D,0,1,A,R Jones,14,10,4,3,16,10,5,4,2,3,0,1,2.2,3.5,3.25,2.23,3.58,3.33,2.05,3.2,3.1,2.14,3.51,3.69
E0,23/09/2023,Crystal Palace,Fulham,0,0,D,0,0,D,P Tierney,7,10,3,5,10,15,3,2,3,2,0,0,1.91,3.4,4.2,1.99,3.54,4.11,1.8,3.25,3.8,2.1,3.39,3.97
E0,23/09/2023,Luton,Wolves,1,1,D,0,0,D,J Smith,20,3,4,3,12,17,10,1,0,2,0,1,3.25,3.4,2.2,3.26,3.47,2.31,3.2,3.1,2.05,3.28,3.31,2.41
E0,23/09/2023,Man City,Nott'm Forest,2,0,H,2,0,H,A Taylor,7,10,4,3,5,17,6,6,3,7,1,0,1.14,8.5,15.0,1.15,9.04,17.91,1.1,7.0,13.0,1.17,8.5,18.0
E0,23/09/2023,Brentford,Everton,1,3,A,1,1,D,M Oliver,12,18,2,6,9,12,1,4,2,2,0,0,1.8,3.8,4.2,1.81,3.8,4.67,1.65,3.5,4.33,1.95,3.53,4.4
E0,23/09/2023,Burnley,Man United,0,1,A,0,1,A,T Harrington,12,11,4,4,6,12,9,5,1,2,0,0,4.2,4.2,1.73,4.28,4.31,1.77,4.2,3.7,1.62,4.32,4.0,1.83
E0,24/09/2023,Arsenal,Tottenham,2,2,D,1,1,D,R Jones,13,13,6,5,12,19,11,4,3,4,0,0,1.67,4.33,4.33,1.68,4.45,4.69,1.65,3.8,3.9,1.65,4.39,5.11
E0,24/09/2023,Brighton,Bournemouth,3,1,H,1,1,D,J Brooks,13,12,4,4,12,17,4,4,3,3,0,0,1.36,5.25,7.5,1.41,5.08,7.9,1.29,5.0,7.0,1.52,4.97,5.9
E0,24/09/2023,Chelsea,Aston Villa,0,1,A,0,0,D,J Gillett,10,15,4,7,9,11,5,11,2,3,0,0,1.91,3.75,3.8,1.93,3.9,3.93,1.75,3.5,3.7,1.91,3.93,4.1
E0,24/09/2023,Liverpool,West Ham,3,1,H,1,1,D,C Kavanagh,22,11,7,4,12,13,7,4,0,2,0,0,1.4,5.0,7.0,1.4,5.67,7.21,1.33,4.6,6.5,1.39,5.64,7.61
E0,24/09/2023,Sheffield United,Newcastle,0,8,A,0,3,A,S Attwell,9,22,1,15,12,8,2,6,3,0,0,0,7.0,4.75,1.44,7.05,4.98,1.45,6.5,4.2,1.36,6.05,4.39,1.57
E0,30/09/2023,Aston Villa,Brighton,6,1,H,3,0,H,A Madley,19,11,9,3,19,21,1,3,4,4,0,0,2.55,3.75,2.55,2.58,3.96,2.58,2.5,3.9,2.45,2.49,3.77,2.82
E0,30/09/2023,Bournemouth,Arsenal,0,4,A,0,2,A,M Salisbury,8,15,1,8,11,10,6,6,0,1,0,0,5.5,4.5,1.53,5.59,4.77,1.56,5.8,4.5,1.5,6.06,4.62,1.55
E0,30/09/2023,Everton,Luton,1,2,A,1,2,A,A Taylor,23,9,5,2,8,10,3,6,0,1,0,0,1.57,3.8,6.5,1.62,3.94,6.24,1.6,3.9,5.8,1.67,3.93,5.7
E0,30/09/2023,Man United,Crystal Palace,0,1,A,0,1,A,C Kavanagh,19,8,4,2,10,8,10,4,3,2,0,0,1.55,4.2,5.75,1.57,4.36,5.96,1.53,4.2,5.8,1.58,4.37,5.96
E0,30/09/2023,Newcastle,Burnley,2,0,H,1,0,H,T Bramall,20,8,8,2,7,15,5,3,1,3,0,0,1.3,5.75,9.0,1.34,5.67,9.15,1.3,5.5,9.0,1.38,5.24,8.53
E0,30/09/2023,West Ham,Sheffield United,2,0,H,2,0,H,G Scott,20,16,9,2,6,9,7,4,1,1,0,0,1.45,4.5,7.0,1.44,4.94,7.44,1.4,4.75,7.0,1.48,4.79,7.0
E0,30/09/2023,Wolves,Man City,2,1,H,1,0,H,C Pawson,3,23,1,8,18,12,0,6,5,4,0,0,8.0,5.75,1.33,9.61,5.75,1.33,9.5,5.5,1.29,8.61,5.19,1.39
E0,30/09/2023,Tottenham,Liverpool,2,1,H,1,1,D,S Hooper,24,12,8,4,11,17,12,5,5,4,0,2,2.9,4.0,2.15,2.98,4.12,2.23,2.88,4.0,2.15,2.96,4.01,2.3
E0,01/10/2023,Nott'm Forest,Brentford,1,1,D,0,0,D,P Tierney,6,18,1,5,6,10,1,11,1,2,1,0,2.75,3.1,2.7,2.84,3.29,2.69,2.75,3.4,2.5,2.62,3.27,2.99
E0,02/10/2023,Fulham,Chelsea,0,2,A,0,2,A,T Robinson,10,11,3,4,15,12,8,1,1,4,0,0,3.6,3.5,2.05,3.93,3.45,2.06,3.6,3.5,2.0,3.52,3.49,2.22
E0,03/10/2023,Luton,Burnley,1,2,A,0,1,A,P Bankes,18,14,3,4,14,6,7,6,4,2,0,0,2.9,3.0,2.63,2.94,3.23,2.65,2.88,3.1,2.6,2.95,3.22,2.69
E0,07/10/2023,Luton,Tottenham,0,1,A,0,0,D,J Brooks,12,15,2,4,16,7,5,6,2,1,0,1,6.0,4.75,1.45,6.91,4.98,1.46,6.5,4.6,1.44,6.8,5.15,1.45
E0,07/10/2023,Burnley,Chelsea,1,4,A,1,1,D,S Attwell,10,9,3,5,11,8,7,3,2,4,0,0,4.5,3.8,1.73,4.58,3.98,1.78,4.75,3.8,1.7,5.2,4.07,1.69
E0,07/10/2023,Everton,Bournemouth,3,0,H,2,0,H,D Coote,25,11,8,4,14,15,8,7,1,2,0,0,1.91,3.6,3.8,1.99,3.71,3.88,1.91,3.7,3.7,1.93,3.78,4.18
E0,07/10/2023,Fulham,Sheffield United,3,1,H,0,0,D,S Barrott,20,5,6,2,8,10,9,4,1,2,0,0,1.62,3.8,6.0,1.64,4.0,5.9,1.6,3.9,5.5,1.52,4.56,6.57
